log_r,h,rssi_dbm,phase_rad,log_f
2.5929575891,0.4533794362,0.3840227177,-1.7271208502,-0.8536664501
2.5400801961,0.4121915869,0.7165985047,1.5673423297,-1.4263185388
2.4779270237,0.3071852438,-1.9440077909,1.0182651331,-0.1413914229
2.462432173,0.2808677292,-0.7799925366,0.861385934,0.0005950224
2.4507960734,0.259394628,0.0514469308,0.1358196384,-1.1396761992
2.4355022099,0.2393921155,-0.4474167497,0.1358196384,-0.0703787554
2.4194032794,0.8720688891,-0.2811288562,-0.2563783592,-1.0681145657
2.4178500981,0.213238338,-0.6137046431,0.1946493381,-1.0681145657
2.414303676,0.2033681655,-0.6137046431,-0.1975486595,0.2841020864
2.4007614067,0.1517480047,-2.4428714714,1.5673423297,-1.2112773695
2.4007614067,0.1517480047,-2.2765835779,0.9202156336,-0.2835335978
2.3508833229,-0.1656458023,-1.278856217,1.0182651331,-0.3546631907
2.3508833229,-0.1656458023,-1.611432004,1.351633431,-0.3546631907
2.3329225683,-0.3349109016,-0.1148409627,0.9594354334,-1.2829181203
2.3210881202,-0.4467603278,-0.9462804301,1.5673423297,-0.4970396016
2.3166984635,-0.4868768686,-0.9462804301,-1.0211644545,-0.4970396016
2.3048970216,-0.5933703708,-1.278856217,0.037770139,-1.3545984955
2.3000652885,-0.6359473666,-0.7799925366,-1.2368733532,-0.9965924254
2.2626086324,-0.9058599642,-0.6137046431,-1.1388238538,-0.8536664501
2.2303448419,-1.0638178045,0.0514469308,0.9594354334,-0.6395725991
2.2169505088,-1.125789309,0.3840227177,1.4104631307,-0.6395725991
2.1961940732,-1.2310956146,-0.1148409627,-1.5702416512,-0.4258318443
2.1961940732,-1.2310956146,0.7165985047,0.528017636,-1.4263185388
2.1961940732,-1.2310956146,0.3840227177,0.7437265347,-1.4263185388
2.1850401679,-1.3040862981,-0.2811288562,0.9202156336,-0.7108979256
1.1989358037,1.8501107295,-0.2811288562,-0.2563783592,-1.2112773695
1.1885088727,1.8154010841,-0.1148409627,0.1358196384,-1.2112773695
1.1418105733,1.5680547978,0.3840227177,-1.4133624521,-1.2829181203
0.6241585499,2.2308570614,-0.1148409627,0.7437265347,-0.4970396016
1.1299707025,1.5119750115,0.0514469308,1.194754232,-1.3545984955
1.1240661192,1.4888956493,0.5503106112,-0.7466258562,-0.9965924254
0.6007324837,2.1000099817,-0.1148409627,-1.7271208502,-0.8536664501
1.1016155977,1.394687896,0.2177348243,-0.5701367573,-0.8536664501
0.5964035755,2.0894382919,0.0514469308,0.4691879364,-0.5682865055
1.0709356798,1.4393378277,0.0514469308,-1.4133624521,-1.4263185388
1.0656037999,1.4599154288,0.0514469308,-0.8446753556,-1.4263185388
1.4644914331,-1.0604323086,-1.1125683236,-1.6879010505,-1.4980782942
1.4455555827,-1.0869318676,-1.278856217,1.7438314286,-1.1396761992
1.038846451,1.4933393561,-0.1148409627,-0.8446753556,-1.1396761992
1.4401682108,-1.0841224051,-1.278856217,-0.7466258562,-1.2112773695
1.4398697401,-1.1338315176,-1.1125683236,-0.6877961566,-1.2829181203
1.4399700316,-1.2274445083,-1.1125683236,-0.8446753556,-1.3545984955
1.4399700316,-1.2274445083,-1.1125683236,-0.2955981589,-1.3545984955
0.5556610771,1.7961015895,-0.9462804301,1.5673423297,1.2715210723
0.5556610771,1.724705584,-0.9462804301,-1.5114119515,1.2715210723
0.5556610771,1.3008081431,-1.278856217,-0.3544278586,0.990168202
0.5556610771,1.3008081431,-1.278856217,-0.5701367573,0.990168202
0.5556610771,1.1907290117,-0.2811288562,0.861385934,-0.6395725991
0.5561306702,0.9243581513,0.0514469308,-0.1387189599,-0.4258318443
0.5561306702,0.8976710121,-0.4474167497,0.0769899388,-1.4263185388
1.0351445171,0.1465231882,0.8828863982,1.4104631307,-1.4263185388
0.5561306702,0.7827376666,-0.2811288562,-0.0798892603,-1.4263185388
0.5561306702,0.7827376666,0.0514469308,0.9202156336,-0.7108979256
